beat,date,crimes
1022,01/03/2016,44
313,01/03/2016,29
1524,01/03/2016,42
1532,01/03/2016,47
1523,01/03/2016,42
631,01/03/2016,55
133,01/03/2016,37
215,01/03/2016,18
2432,01/03/2016,26
735,01/03/2016,39
334,01/03/2016,35
1834,01/03/2016,90
1232,01/03/2016,26
1434,01/03/2016,35
831,01/03/2016,64
1424,01/03/2016,53
225,01/03/2016,23
2232,01/03/2016,25
222,01/03/2016,46
235,01/03/2016,16
1932,01/03/2016,17
1611,01/03/2016,24
1831,01/03/2016,68
2223,01/03/2016,39
915,01/03/2016,39
821,01/03/2016,22
613,01/03/2016,42
122,01/03/2016,55
1513,01/03/2016,42
2534,01/03/2016,48
1923,01/03/2016,47
2433,01/03/2016,36
511,01/03/2016,57
925,01/03/2016,22
1733,01/03/2016,32
331,01/03/2016,49
725,01/03/2016,38
533,01/03/2016,30
824,01/03/2016,35
811,01/03/2016,21
2213,01/03/2016,21
1732,01/03/2016,29
112,01/03/2016,57
424,01/03/2016,46
2511,01/03/2016,18
914,01/03/2016,18
324,01/03/2016,49
1832,01/03/2016,33
723,01/03/2016,41
1812,01/03/2016,21
912,01/04/2016,36
622,01/04/2016,26
2531,01/03/2016,28
1422,01/03/2016,35
1432,01/03/2016,33
922,01/03/2016,24
1122,01/03/2016,54
123,01/03/2016,36
111,01/03/2016,83
121,01/03/2016,26
512,01/03/2016,63
411,01/03/2016,33
1032,01/03/2016,25
1623,01/03/2016,25
611,01/03/2016,49
634,01/03/2016,31
624,01/03/2016,53
1023,01/03/2016,21
2032,01/03/2016,10
712,01/03/2016,56
2535,01/03/2016,35
1634,01/03/2016,26
2412,01/03/2016,26
333,01/04/2016,30
2012,01/03/2016,14
1824,01/04/2016,49
822,01/04/2016,41
214,01/03/2016,26
1121,01/04/2016,55
2212,01/03/2016,27
1112,01/04/2016,48
321,01/04/2016,48
412,01/03/2016,46
833,01/03/2016,39
825,01/03/2016,46
1633,01/03/2016,32
1933,01/03/2016,29
633,01/03/2016,38
931,01/03/2016,37
2213,01/04/2016,33
1712,01/03/2016,40
2533,01/03/2016,44
1833,01/03/2016,35
1024,01/03/2016,42
1235,01/03/2016,26
1924,01/03/2016,61
623,01/03/2016,50
1934,01/03/2016,24
332,01/03/2016,39
131,01/03/2016,35
223,01/03/2016,26
1724,01/03/2016,23
1814,01/03/2016,31
132,01/03/2016,22
1411,01/03/2016,23
1214,01/03/2016,39
1222,01/03/2016,27
1631,01/03/2016,25
232,01/03/2016,21
1632,01/03/2016,26
1231,01/04/2016,21
332,01/04/2016,40
2223,01/04/2016,42
715,01/03/2016,20
832,01/03/2016,27
1225,01/04/2016,39
312,01/03/2016,27
611,01/04/2016,41
823,01/03/2016,45
422,01/03/2016,41
334,01/01/2015,41
313,01/01/2016,34
1421,01/01/2016,23
1934,01/05/2016,28
1915,01/01/2016,22
413,01/12/2016,36
935,01/01/2016,27
523,01/01/2016,52
1023,01/02/2016,24
1724,01/09/2016,22
1611,01/01/2016,22
1834,01/04/2016,68
1032,01/11/2016,29
1834,01/09/2016,82
931,01/01/2016,31
622,01/01/2016,36
835,01/03/2016,41
1533,01/03/2016,66
934,01/04/2016,27
725,01/04/2016,38
1134,01/04/2016,51
821,01/04/2016,31
523,01/04/2016,44
533,01/04/2016,45
421,01/04/2016,68
724,01/04/2016,29
914,01/04/2016,23
1213,01/04/2016,24
1513,01/04/2016,29
2511,01/01/2015,30
2412,01/05/2016,26
2512,01/01/2012,89
234,01/02/2016,21
1712,01/05/2016,37
634,01/11/2016,40
323,01/02/2016,37
323,01/04/2016,46
1831,01/02/2016,68
1131,01/04/2016,43
1834,01/01/2014,71
1531,01/04/2016,33
1024,01/01/2013,45
1533,01/04/2016,61
1133,01/04/2016,52
712,01/04/2016,46
726,01/04/2016,27
1613,01/04/2016,20
123,01/04/2016,36
632,01/04/2016,51
1033,01/04/2016,32
835,01/04/2016,36
614,01/04/2016,45
1821,01/04/2016,28
634,01/04/2016,31
612,01/04/2016,53
1731,01/04/2016,28
313,01/04/2016,24
711,01/04/2016,26
532,01/04/2016,26
1925,01/04/2016,38
214,01/04/2016,27
1923,01/04/2016,32
2424,01/04/2016,27
1135,01/04/2016,27
424,01/04/2016,31
